year,local_authority_name,pedal_cycles_mean,cars_and_taxis_mean,lgvs_mean,all_hgvs_mean,n_counters,multiplier
2010,Aberdeen City,11.333333333333334,2606.3333333333335,21,46.666666666666664,3,0.5483870967741935
2010,Aberdeenshire,6.555555555555555,1541,10.777777777777779,77.44444444444444,9,1.0350877192982457
2010,Angus,7.4,878.4,10.4,96.2,5,1.027777777777778
2010,Argyll & Bute,4,359.2,7.4,27.6,5,1.4285714285714286
2010,Barking and Dagenham,28,2982,28,41,1,0.6829268292682927
2010,Barnet,43.166666666666664,13765.833333333334,186.5,441.6666666666667,6,1.363157894736842
2010,Barnsley,12.785714285714286,3023.5714285714284,35.214285714285715,72.14285714285714,14,0.6679104477611941
2010,Bath and North East Somerset,16.6,3586.3,45.2,44.3,10,0.5045592705167173
2010,Bedford,19.875,2284.625,17.75,60.625,8,0.28804347826086957
2010,Bexley,17.2,16576.4,382,824.6,5,0.5276073619631901
2010,Birmingham,12.14,2012.76,15.16,21.1,50,0.7234803337306317
2010,Blackburn with Darwen,3,840.6666666666666,3.8333333333333335,15.333333333333334,6,0.48648648648648646
2010,Blackpool,29,1532.5,14.125,21.25,8,0.9098039215686274
2010,Blaenau Gwent,5.2,2438,16,54.8,5,0.7428571428571429
2010,Bolton,19.571428571428573,3025.9285714285716,21.714285714285715,53.42857142857143,14,0.7365591397849462
2010,Bournemouth,62.25,2730.25,46.375,22.125,8,0.7114285714285714
2010,Bracknell Forest,39.25,2068.25,12.5,32.75,4,0.7772277227722773
2010,Bradford,11.473684210526315,2865.3684210526317,15.894736842105264,38.526315789473685,19,0.7569444444444444
2010,Brent,38.857142857142854,4230.428571428572,40.142857142857146,58.142857142857146,7,0.7411444141689373
2010,Bridgend,17.4,2872.3,18.2,30,10,0.5594855305466238
2010,Brighton and Hove,83.76470588235294,2870.705882352941,39.11764705882353,42.23529411764706,17,0.8127853881278538
2010,"Bristol, City of",64.5,2337.909090909091,44.72727272727273,41.54545454545455,22,0.7250894225855902
2010,Bromley,29.125,2799,27.375,43.25,8,1.3952095808383234
2010,Buckinghamshire,13.333333333333334,2683.266666666667,21,49.86666666666667,15,0.6024096385542169
2010,Bury,19.2,4341.2,19.6,55.4,5,1.0105263157894737
2010,Caerphilly,13.058823529411764,1916.1176470588234,15.764705882352942,31.764705882352942,17,1.353658536585366
2010,Calderdale,15.5,3212.875,38.25,95,8,0.6526315789473685
2010,Cambridgeshire,54.16216216216216,1800.1081081081081,22.18918918918919,59,37,0.761977186311787
2010,Camden,214.5,5271.75,233,178,4,1.719438877755511
2010,Cardiff,25.833333333333332,2347.472222222222,15.027777777777779,22.22222222222222,36,0.6828193832599119
2010,Carmarthenshire,4.5,1556,7.75,34,12,0.9310344827586208
2010,Central Bedfordshire,24.857142857142858,2907.6428571428573,27.642857142857142,79.14285714285714,14,0.73109243697479
2010,Ceredigion,10.5,1430,12.5,34.25,4,1.1666666666666667
2010,City of Edinburgh,41.25,3142.75,15,86.25,4,0.6626506024096386
2010,Clackmannanshire,8,1742,21,55,1,0.7272727272727273
2010,Conwy,6.666666666666667,460.3333333333333,3.5,14,6,1.3333333333333335
2010,Cornwall excluding Isles of Scilly,11,1661.8181818181818,24.727272727272727,50.27272727272727,22,0.8203389830508475
2010,Coventry,29.5,1997.5454545454545,21.681818181818183,13.272727272727273,22,0.629485935984481
2010,Croydon,34.6,3793.2,50,62,5,1.1233766233766234
2010,Cumbria,22.681818181818183,1944.7727272727273,20.727272727272727,71,22,0.8708551483420593
2010,Darlington,38.666666666666664,1776.6666666666667,13,28.666666666666668,9,0.6137566137566137
2010,Denbighshire,19.333333333333332,1900.6666666666667,18,31.666666666666668,3,1.1153846153846154
2010,Derby,31.434782608695652,2818.7391304347825,20,21.17391304347826,23,0.7005813953488372
2010,Derbyshire,20.681818181818183,2666.590909090909,29.25,44.36363636363637,44,0.7027027027027027
2010,Devon,20.307692307692307,1445.3846153846155,15.384615384615385,39.84615384615385,13,0.7058823529411764
2010,Doncaster,28.63157894736842,2606.842105263158,20.526315789473685,86.10526315789474,19,0.7608391608391609
2010,Dorset,21.689655172413794,2062.655172413793,25.137931034482758,55.689655172413794,29,0.8616438356164384
2010,Dudley,16.235294117647058,2527.0588235294117,32,67.76470588235294,17,0.9517241379310345
2010,Dumfries & Galloway,19.5,488.25,4.25,32.125,8,0.9936305732484076
2010,Dundee City,10,2973,4,68,1,0.8333333333333334
2010,Durham,14.153846153846153,1919.423076923077,17.153846153846153,30.846153846153847,26,0.7510204081632652
2010,Ealing,60.6,19486,316.8,1196,5,1.0484429065743945
2010,East Ayrshire,4.5,1086.5,2.5,34,2,0.391304347826087
2010,East Cheshire,32.15384615384615,2439.6153846153848,18.76923076923077,48.84615384615385,13,0.8085106382978724
2010,East Dunbartonshire,13,4997.75,18,129,4,1.0612244897959184
2010,East Lothian,12.75,2911.75,24.75,134.5,4,0.5483870967741935
2010,East Renfrewshire,14.666666666666666,5919.666666666667,12.666666666666666,94.33333333333333,3,1.0476190476190477
2010,East Riding of Yorkshire,21.125,879.5833333333334,14.375,39.125,24,0.69931034482758625
2010,East Sussex,11.6875,1892.1666666666667,19.145833333333332,49.708333333333336,48,0.5825545171339563
2010,Enfield,46.75,11941.25,129.75,379.5,4,0.6404109589041096
2010,Essex,20.12037037037037,2483.435185185185,25.37037037037037,67.78703703703704,108,0.8093109869646182
2010,Falkirk,11.6,2918.2,14,125.6,5,0.8923076923076922
2010,Fife,11.428571428571429,3403.714285714286,16.071428571428573,262.42857142857144,14,1.4414414414414414
2010,Flintshire,43.8,3975,49.9,54.1,10,0.7724867724867724
2010,Gateshead,19.3,3145.95,18.1,112.6,20,0.6107594936708861
2010,Gloucestershire,21.026315789473685,2026,20.68421052631579,55.921052631578945,38,0.6636212624584718
2010,Greenwich,13.5,1854.5,25.75,21.375,8,0.907563025210084
2010,Gwynedd,3.25,538.5,2.25,20.25,4,0.4642857142857143
2010,Hackney,215.25,24213.5,980.75,3723.5,4,0.8848920863309353
2010,Halton,27,4166,20.75,130,4,0.9473684210526315
2010,Hammersmith and Fulham,287.5,22877.25,1182,682,4,1.6335227272727273
2010,Hampshire,40.208695652173915,2671.104347826087,33.643478260869564,51.33913043478261,115,0.6790014684287812
2010,Haringey,68.66666666666667,2621,57.666666666666664,57,3,0.7253521126760564
2010,Harrow,49.666666666666664,6662.333333333333,55.666666666666664,134.66666666666666,3,0.7801047120418848
2010,Hartlepool,21.5,2205.1666666666665,12.333333333333334,24.5,6,0.5201612903225806
